Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
129,City,189,Cancelled,11/07/2016 05:10,NA
130,City,206,Cancelled,11/07/2016 05:12,NA
131,City,NA,No Cars Available,11/07/2016 05:10,NA
132,City,21,Cancelled,11/07/2016 05:15,NA
133,City,247,Cancelled,11/07/2016 05:14,NA
134,Airport,121,Trip Completed,11/07/2016 05:13,11/07/2016 06:14
135,City,NA,No Cars Available,11/07/2016 05:20,NA
136,City,NA,No Cars Available,11/07/2016 05:19,NA
137,City,NA,No Cars Available,11/07/2016 05:17,NA
138,City,NA,No Cars Available,11/07/2016 05:20,NA
139,Airport,14,Trip Completed,11/07/2016 05:21,11/07/2016 06:09
140,City,279,Cancelled,11/07/2016 05:17,NA
141,City,49,Cancelled,11/07/2016 05:20,NA
142,City,134,Trip Completed,11/07/2016 05:25,11/07/2016 06:19
143,Airport,157,Trip Completed,11/07/2016 05:24,11/07/2016 06:01
144,City,291,Cancelled,11/07/2016 05:24,NA
145,City,33,Trip Completed,11/07/2016 05:32,11/07/2016 06:37
146,Airport,191,Trip Completed,11/07/2016 05:29,11/07/2016 06:08
147,City,267,Cancelled,11/07/2016 05:26,NA
148,Airport,105,Trip Completed,11/07/2016 05:36,11/07/2016 06:46
149,City,111,Cancelled,11/07/2016 05:29,NA
150,City,9,Cancelled,11/07/2016 05:24,NA
151,City,290,Cancelled,11/07/2016 05:27,NA
152,City,294,Trip Completed,11/07/2016 05:29,11/07/2016 06:16
153,City,NA,No Cars Available,11/07/2016 05:33,NA
154,City,NA,No Cars Available,11/07/2016 05:31,NA
155,City,13,Trip Completed,11/07/2016 05:32,11/07/2016 06:28
156,Airport,96,Trip Completed,11/07/2016 05:35,11/07/2016 06:40
157,City,226,Cancelled,11/07/2016 05:38,NA
158,City,289,Trip Completed,11/07/2016 05:35,11/07/2016 06:41
159,City,NA,No Cars Available,11/07/2016 05:43,NA
160,Airport,72,Trip Completed,11/07/2016 05:38,11/07/2016 06:34
161,Airport,107,Trip Completed,11/07/2016 05:36,11/07/2016 06:10
162,City,70,Cancelled,11/07/2016 05:34,NA
163,City,161,Trip Completed,11/07/2016 05:35,11/07/2016 06:49
164,City,137,Cancelled,11/07/2016 05:40,NA
165,Airport,199,Trip Completed,11/07/2016 05:39,11/07/2016 06:11
166,City,269,Cancelled,11/07/2016 05:41,NA
167,City,NA,No Cars Available,11/07/2016 05:40,NA
168,City,62,Cancelled,11/07/2016 05:37,NA
169,City,184,Trip Completed,11/07/2016 05:45,11/07/2016 06:48
170,City,113,Trip Completed,11/07/2016 05:45,11/07/2016 06:39
171,City,NA,No Cars Available,11/07/2016 05:39,NA
172,Airport,59,Trip Completed,11/07/2016 05:41,11/07/2016 06:19
173,City,188,Trip Completed,11/07/2016 05:45,11/07/2016 06:30
174,Airport,119,Cancelled,11/07/2016 05:44,NA
175,City,160,Cancelled,11/07/2016 05:45,NA
176,City,67,Cancelled,11/07/2016 05:42,NA
177,City,169,Cancelled,11/07/2016 05:48,NA
178,City,NA,No Cars Available,11/07/2016 05:47,NA
179,City,NA,No Cars Available,11/07/2016 05:49,NA
180,Airport,112,Trip Completed,11/07/2016 05:48,11/07/2016 06:28
181,City,159,Cancelled,11/07/2016 05:46,NA
182,Airport,225,Trip Completed,11/07/2016 05:46,11/07/2016 06:58
183,City,252,Trip Completed,11/07/2016 05:49,11/07/2016 06:29
184,City,292,Cancelled,11/07/2016 05:49,NA
185,City,236,Cancelled,11/07/2016 05:43,NA
186,City,288,Cancelled,11/07/2016 05:48,NA
187,City,62,Cancelled,11/07/2016 05:57,NA
188,City,114,Cancelled,11/07/2016 05:54,NA
189,City,NA,No Cars Available,11/07/2016 05:58,NA
190,City,NA,No Cars Available,11/07/2016 05:53,NA
191,Airport,37,Trip Completed,11/07/2016 05:55,11/07/2016 06:45
192,City,202,Cancelled,11/07/2016 05:56,NA
193,City,213,Cancelled,11/07/2016 05:58,NA
194,City,NA,No Cars Available,11/07/2016 06:05,NA
195,City,297,Trip Completed,11/07/2016 06:05,11/07/2016 06:52
196,Airport,24,Cancelled,11/07/2016 06:07,NA
197,City,202,Trip Completed,11/07/2016 06:00,11/07/2016 06:49
198,Airport,249,Trip Completed,11/07/2016 06:03,11/07/2016 06:44
199,City,NA,No Cars Available,11/07/2016 06:07,NA
200,City,36,Cancelled,11/07/2016 06:10,NA
201,City,76,Trip Completed,11/07/2016 06:09,11/07/2016 07:20
202,City,94,Cancelled,11/07/2016 06:09,NA
203,City,NA,No Cars Available,11/07/2016 06:07,NA
204,City,27,Trip Completed,11/07/2016 06:04,11/07/2016 06:44
205,Airport,230,Trip Completed,11/07/2016 06:10,11/07/2016 07:10
206,City,232,Trip Completed,11/07/2016 06:07,11/07/2016 06:37
207,City,NA,No Cars Available,11/07/2016 06:06,NA
208,Airport,NA,No Cars Available,11/07/2016 06:05,NA
209,City,50,Cancelled,11/07/2016 06:11,NA
210,City,79,Cancelled,11/07/2016 06:12,NA
211,City,100,Trip Completed,11/07/2016 06:08,11/07/2016 06:47
212,City,106,Cancelled,11/07/2016 06:09,NA
213,City,116,Trip Completed,11/07/2016 06:15,11/07/2016 06:57
214,City,215,Trip Completed,11/07/2016 06:13,11/07/2016 06:53
215,City,14,Trip Completed,11/07/2016 06:15,11/07/2016 07:07
216,City,54,Cancelled,11/07/2016 06:13,NA
217,City,183,Cancelled,11/07/2016 06:12,NA
218,City,30,Cancelled,11/07/2016 06:14,NA
219,City,283,Cancelled,11/07/2016 06:15,NA
220,Airport,203,Trip Completed,11/07/2016 06:11,11/07/2016 06:55
221,City,NA,No Cars Available,11/07/2016 06:16,NA
222,Airport,247,Trip Completed,11/07/2016 06:20,11/07/2016 07:10
223,Airport,160,Trip Completed,11/07/2016 06:13,11/07/2016 07:05
224,City,191,Cancelled,11/07/2016 06:17,NA
225,City,245,Trip Completed,11/07/2016 06:16,11/07/2016 07:28
226,City,NA,No Cars Available,11/07/2016 06:21,NA
227,Airport,151,Cancelled,11/07/2016 06:20,NA
228,City,NA,No Cars Available,11/07/2016 06:24,NA
229,City,131,Cancelled,11/07/2016 06:23,NA
230,City,NA,No Cars Available,11/07/2016 06:27,NA
231,City,NA,No Cars Available,11/07/2016 06:26,NA
232,City,22,Cancelled,11/07/2016 06:26,NA
233,City,9,Cancelled,11/07/2016 06:27,NA
234,City,54,Trip Completed,11/07/2016 06:27,11/07/2016 07:23
235,City,61,Cancelled,11/07/2016 06:22,NA
236,City,24,Cancelled,11/07/2016 06:32,NA
237,City,56,Cancelled,11/07/2016 06:29,NA
238,City,42,Trip Completed,11/07/2016 06:27,11/07/2016 07:15
239,City,98,Cancelled,11/07/2016 06:25,NA
240,City,168,Cancelled,11/07/2016 06:29,NA
241,City,108,Trip Completed,11/07/2016 06:31,11/07/2016 07:17
242,Airport,139,Trip Completed,11/07/2016 06:31,11/07/2016 07:21
243,City,144,Trip Completed,11/07/2016 06:34,11/07/2016 07:09
244,City,211,Cancelled,11/07/2016 06:31,NA
245,City,69,Cancelled,11/07/2016 06:33,NA
246,Airport,87,Trip Completed,11/07/2016 06:35,11/07/2016 07:10
247,City,7,Cancelled,11/07/2016 06:33,NA
248,City,166,Trip Completed,11/07/2016 06:38,11/07/2016 07:45
249,City,39,Trip Completed,11/07/2016 06:31,11/07/2016 07:14
250,Airport,66,Trip Completed,11/07/2016 06:29,11/07/2016 07:34
251,Airport,268,Trip Completed,11/07/2016 06:36,11/07/2016 07:08
252,City,107,Cancelled,11/07/2016 06:36,NA
253,City,130,Cancelled,11/07/2016 06:43,NA
254,City,NA,No Cars Available,11/07/2016 06:40,NA
255,City,NA,No Cars Available,11/07/2016 06:44,NA
256,Airport,80,Trip Completed,11/07/2016 06:44,11/07/2016 07:38
257,Airport,89,Trip Completed,11/07/2016 06:38,11/07/2016 07:50
258,Airport,273,Trip Completed,11/07/2016 06:36,11/07/2016 07:19
259,City,NA,No Cars Available,11/07/2016 06:46,NA
260,City,118,Trip Completed,11/07/2016 06:45,11/07/2016 07:54
261,City,165,Cancelled,11/07/2016 06:42,NA
262,City,220,Cancelled,11/07/2016 06:41,NA
263,City,NA,No Cars Available,11/07/2016 06:44,NA
264,City,12,Trip Completed,11/07/2016 06:51,11/07/2016 07:40
265,City,193,Cancelled,11/07/2016 06:47,NA
266,City,NA,No Cars Available,11/07/2016 06:47,NA
267,City,2,Trip Completed,11/07/2016 06:46,11/07/2016 07:25
268,City,206,Cancelled,11/07/2016 06:52,NA
269,City,81,Trip Completed,11/07/2016 06:44,11/07/2016 07:43
270,City,124,Trip Completed,11/07/2016 06:54,11/07/2016 07:50
271,Airport,243,Trip Completed,11/07/2016 06:53,11/07/2016 07:31
272,City,NA,No Cars Available,11/07/2016 06:50,NA
273,Airport,261,Trip Completed,11/07/2016 06:51,11/07/2016 07:55
274,City,NA,No Cars Available,11/07/2016 06:50,NA
275,City,22,Cancelled,11/07/2016 07:00,NA
276,City,27,Cancelled,11/07/2016 06:52,NA
277,City,198,Cancelled,11/07/2016 06:59,NA
278,City,50,Cancelled,11/07/2016 06:55,NA
279,Airport,109,Trip Completed,11/07/2016 06:58,11/07/2016 07:47
280,Airport,219,Trip Completed,11/07/2016 07:05,11/07/2016 07:41
281,City,131,Trip Completed,11/07/2016 07:01,11/07/2016 08:10
282,City,141,Trip Completed,11/07/2016 06:56,11/07/2016 08:11
283,Airport,196,Trip Completed,11/07/2016 07:01,11/07/2016 07:32
284,City,298,Cancelled,11/07/2016 07:05,NA
285,City,74,Trip Completed,11/07/2016 07:02,11/07/2016 07:40
286,City,82,Trip Completed,11/07/2016 06:58,11/07/2016 07:54
287,City,NA,No Cars Available,11/07/2016 07:05,NA
288,City,NA,No Cars Available,11/07/2016 07:05,NA
289,City,44,Cancelled,11/07/2016 07:09,NA
290,City,195,Cancelled,11/07/2016 07:13,NA
291,City,224,Cancelled,11/07/2016 07:06,NA
292,City,231,Trip Completed,11/07/2016 07:14,11/07/2016 07:51
293,City,176,Cancelled,11/07/2016 07:07,NA
294,City,278,Cancelled,11/07/2016 07:12,NA
295,Airport,297,Cancelled,11/07/2016 07:10,NA
296,Airport,144,Trip Completed,11/07/2016 07:12,11/07/2016 07:54
297,Airport,206,Trip Completed,11/07/2016 07:13,11/07/2016 07:43
298,City,238,Cancelled,11/07/2016 07:15,NA
299,City,284,Cancelled,11/07/2016 07:13,NA
300,City,NA,No Cars Available,11/07/2016 07:13,NA
301,City,233,Trip Completed,11/07/2016 07:17,11/07/2016 08:18
302,City,209,Cancelled,11/07/2016 07:17,NA
303,Airport,276,Trip Completed,11/07/2016 07:19,11/07/2016 08:01
304,City,221,Trip Completed,11/07/2016 07:21,11/07/2016 07:50
305,City,272,Cancelled,11/07/2016 07:17,NA
306,City,15,Cancelled,11/07/2016 07:20,NA
307,City,70,Cancelled,11/07/2016 07:20,NA
308,City,105,Cancelled,11/07/2016 07:22,NA
309,City,240,Cancelled,11/07/2016 07:18,NA
310,Airport,13,Trip Completed,11/07/2016 07:24,11/07/2016 08:28
311,Airport,149,Trip Completed,11/07/2016 07:27,11/07/2016 08:08
312,City,5,Trip Completed,11/07/2016 07:27,11/07/2016 08:31
313,City,53,Trip Completed,11/07/2016 07:26,11/07/2016 08:35
314,Airport,275,Trip Completed,11/07/2016 07:28,11/07/2016 08:15
315,City,278,Cancelled,11/07/2016 07:34,NA
316,City,290,Cancelled,11/07/2016 07:26,NA
317,City,145,Cancelled,11/07/2016 07:29,NA
318,City,146,Trip Completed,11/07/2016 07:28,11/07/2016 08:43
319,City,161,Cancelled,11/07/2016 07:33,NA
320,City,187,Trip Completed,11/07/2016 07:32,11/07/2016 08:44
321,City,119,Cancelled,11/07/2016 07:30,NA
322,City,26,Trip Completed,11/07/2016 07:31,11/07/2016 08:10
323,City,57,Cancelled,11/07/2016 07:36,NA
324,City,85,Cancelled,11/07/2016 07:40,NA
325,City,182,Trip Completed,11/07/2016 07:34,11/07/2016 08:44
326,City,110,Cancelled,11/07/2016 07:33,NA
327,City,240,Cancelled,11/07/2016 07:33,NA
328,City,59,Cancelled,11/07/2016 07:33,NA
329,Airport,254,Trip Completed,11/07/2016 07:42,11/07/2016 08:49
330,Airport,223,Trip Completed,11/07/2016 07:39,11/07/2016 08:52
331,City,NA,No Cars Available,11/07/2016 07:47,NA
332,City,259,Cancelled,11/07/2016 07:40,NA
333,City,37,Trip Completed,11/07/2016 07:43,11/07/2016 08:53
334,City,103,Cancelled,11/07/2016 07:40,NA
335,City,197,Trip Completed,11/07/2016 07:39,11/07/2016 08:23
336,Airport,81,Trip Completed,11/07/2016 07:50,11/07/2016 08:44
337,City,NA,No Cars Available,11/07/2016 07:50,NA
338,City,248,Trip Completed,11/07/2016 07:50,11/07/2016 08:55
339,Airport,44,Trip Completed,11/07/2016 07:49,11/07/2016 08:45
340,City,289,Cancelled,11/07/2016 07:51,NA
341,City,94,Cancelled,11/07/2016 07:46,NA
342,City,NA,No Cars Available,11/07/2016 07:51,NA
343,City,129,Trip Completed,11/07/2016 07:57,11/07/2016 08:55
344,City,NA,No Cars Available,11/07/2016 07:52,NA
345,City,164,Cancelled,11/07/2016 07:52,NA
346,City,273,Cancelled,11/07/2016 07:54,NA
347,City,284,Cancelled,11/07/2016 07:51,NA
348,City,NA,No Cars Available,11/07/2016 07:54,NA
349,City,NA,No Cars Available,11/07/2016 07:51,NA
350,City,96,Trip Completed,11/07/2016 07:53,11/07/2016 08:40
351,City,99,Trip Completed,11/07/2016 07:53,11/07/2016 08:55
352,City,20,Cancelled,11/07/2016 07:54,NA
353,City,72,Cancelled,11/07/2016 07:55,NA
354,City,116,Cancelled,11/07/2016 07:59,NA
355,City,176,Cancelled,11/07/2016 07:54,NA
356,City,NA,No Cars Available,11/07/2016 08:03,NA
357,Airport,24,Trip Completed,11/07/2016 08:00,11/07/2016 09:08
358,City,153,Cancelled,11/07/2016 08:00,NA
359,City,NA,No Cars Available,11/07/2016 07:58,NA
360,Airport,35,Trip Completed,11/07/2016 08:02,11/07/2016 09:05
361,City,262,Trip Completed,11/07/2016 08:05,11/07/2016 08:48
362,City,22,Trip Completed,11/07/2016 08:01,11/07/2016 09:18
363,City,249,Cancelled,11/07/2016 08:02,NA
364,City,NA,No Cars Available,11/07/2016 08:05,NA
365,City,NA,No Cars Available,11/07/2016 08:07,NA
366,City,158,Cancelled,11/07/2016 08:04,NA
367,City,NA,No Cars Available,11/07/2016 08:03,NA
368,City,111,Cancelled,11/07/2016 08:06,NA
369,City,NA,No Cars Available,11/07/2016 08:04,NA
370,City,73,Trip Completed,11/07/2016 08:06,11/07/2016 08:32
371,City,158,Cancelled,11/07/2016 08:07,NA
372,City,NA,No Cars Available,11/07/2016 08:07,NA
373,Airport,102,Trip Completed,11/07/2016 08:09,11/07/2016 09:16
374,Airport,264,Trip Completed,11/07/2016 08:10,11/07/2016 09:03
375,Airport,279,Trip Completed,11/07/2016 08:07,11/07/2016 09:26
376,City,77,Trip Completed,11/07/2016 08:11,11/07/2016 08:49
377,City,47,Cancelled,11/07/2016 08:11,NA
378,City,186,Cancelled,11/07/2016 08:08,NA
379,City,130,Cancelled,11/07/2016 08:18,NA
380,Airport,8,Trip Completed,11/07/2016 08:18,11/07/2016 09:18
381,City,108,Cancelled,11/07/2016 08:16,NA
382,City,253,Trip Completed,11/07/2016 08:17,11/07/2016 09:11
383,City,200,Cancelled,11/07/2016 08:21,NA
384,Airport,231,Trip Completed,11/07/2016 08:18,11/07/2016 08:54
385,City,NA,No Cars Available,11/07/2016 08:21,NA
386,City,68,Cancelled,11/07/2016 08:29,NA
387,Airport,228,Trip Completed,11/07/2016 08:19,11/07/2016 09:07
388,City,NA,No Cars Available,11/07/2016 08:21,NA
389,City,266,Trip Completed,11/07/2016 08:20,11/07/2016 09:17
390,City,NA,No Cars Available,11/07/2016 08:17,NA
391,City,107,Cancelled,11/07/2016 08:24,NA
392,Airport,193,Trip Completed,11/07/2016 08:23,11/07/2016 09:10
393,City,212,Cancelled,11/07/2016 08:27,NA
394,Airport,260,Trip Completed,11/07/2016 08:22,11/07/2016 08:59
395,City,276,Cancelled,11/07/2016 08:32,NA
396,City,NA,No Cars Available,11/07/2016 08:29,NA
397,City,72,Cancelled,11/07/2016 08:23,NA
398,City,159,Trip Completed,11/07/2016 08:26,11/07/2016 09:32
399,City,232,Cancelled,11/07/2016 08:25,NA
400,City,32,Cancelled,11/07/2016 08:29,NA
401,City,43,Cancelled,11/07/2016 08:27,NA
402,Airport,69,Trip Completed,11/07/2016 08:31,11/07/2016 09:02
403,City,79,Cancelled,11/07/2016 08:35,NA
404,City,120,Cancelled,11/07/2016 08:39,NA
405,City,132,Trip Completed,11/07/2016 08:29,11/07/2016 09:35
406,Airport,201,Trip Completed,11/07/2016 08:36,11/07/2016 09:34
407,City,294,Cancelled,11/07/2016 08:33,NA
408,City,NA,No Cars Available,11/07/2016 08:37,NA
409,City,216,Cancelled,11/07/2016 08:34,NA
410,City,274,Trip Completed,11/07/2016 08:34,11/07/2016 09:25
411,City,53,Cancelled,11/07/2016 08:37,NA
412,City,107,Cancelled,11/07/2016 08:37,NA
413,City,NA,No Cars Available,11/07/2016 08:37,NA
414,City,242,Cancelled,11/07/2016 08:41,NA
415,Airport,251,Cancelled,11/07/2016 08:37,NA
416,City,NA,No Cars Available,11/07/2016 08:39,NA
417,City,271,Cancelled,11/07/2016 08:42,NA
418,City,62,Trip Completed,11/07/2016 08:42,11/07/2016 09:24
419,City,212,Cancelled,11/07/2016 08:42,NA
420,City,284,Trip Completed,11/07/2016 08:37,11/07/2016 09:27
421,City,57,Cancelled,11/07/2016 08:43,NA
422,City,84,Trip Completed,11/07/2016 08:42,11/07/2016 09:56
423,City,215,Trip Completed,11/07/2016 08:36,11/07/2016 09:21
424,City,46,Cancelled,11/07/2016 08:47,NA
425,Airport,54,Trip Completed,11/07/2016 08:48,11/07/2016 09:34
426,City,174,Trip Completed,11/07/2016 08:48,11/07/2016 09:53
427,City,104,Cancelled,11/07/2016 08:48,NA
428,City,88,Cancelled,11/07/2016 08:48,NA
429,City,148,Trip Completed,11/07/2016 08:54,11/07/2016 09:47
430,City,134,Trip Completed,11/07/2016 08:49,11/07/2016 09:47
431,City,246,Cancelled,11/07/2016 08:56,NA
432,City,89,Cancelled,11/07/2016 08:52,NA
433,City,177,Cancelled,11/07/2016 08:57,NA
434,City,NA,No Cars Available,11/07/2016 09:09,NA
435,City,NA,No Cars Available,11/07/2016 08:55,NA
436,City,40,Cancelled,11/07/2016 08:55,NA
437,City,123,Cancelled,11/07/2016 08:59,NA
438,City,156,Trip Completed,11/07/2016 09:05,11/07/2016 10:14
439,City,161,Cancelled,11/07/2016 08:55,NA
440,City,NA,No Cars Available,11/07/2016 09:08,NA
441,City,286,Cancelled,11/07/2016 09:05,NA
442,City,NA,No Cars Available,11/07/2016 09:15,NA
443,City,48,Trip Completed,11/07/2016 09:05,11/07/2016 09:45
444,Airport,142,Trip Completed,11/07/2016 09:09,11/07/2016 09:52
445,City,162,Trip Completed,11/07/2016 09:06,11/07/2016 10:05
446,City,86,Trip Completed,11/07/2016 09:07,11/07/2016 10:08
447,City,155,Trip Completed,11/07/2016 09:07,11/07/2016 09:57
448,City,235,Trip Completed,11/07/2016 09:13,11/07/2016 10:08
449,Airport,9,Trip Completed,11/07/2016 09:08,11/07/2016 09:52
450,City,88,Cancelled,11/07/2016 09:11,NA
451,City,152,Trip Completed,11/07/2016 09:10,11/07/2016 10:10
452,City,NA,No Cars Available,11/07/2016 09:16,NA
453,City,NA,No Cars Available,11/07/2016 09:13,NA
454,City,47,Cancelled,11/07/2016 09:10,NA
455,City,178,Trip Completed,11/07/2016 09:17,11/07/2016 10:12
456,City,NA,No Cars Available,11/07/2016 09:13,NA
