householdID,total_ppl,own_rent,square_foot,household_income,number_pets,county,entertainment_spend_est,travel_spend_est,under_12,LL_passholder
40,3,own,3881,66516,1,Cumberland,2534,2956,2,Yes
41,4,own,4222,81943,1,York,2240,4071,2,No
42,2,own,2802,72945,3,Cumberland,1933,3153,1,No
43,6,own,2602,59308,1,Sagadahoc,4366,2553,2,No
44,3,own,3072,69668,2,Cumberland,2611,3164,1,Yes
45,3,own,2633,62518,1,Cumberland,2069,3827,1,Yes
46,4,own,3081,45708,2,Cumberland,1360,2940,1,Yes
47,2,own,2573,107341,1,Cumberland,1750,3468,1,No
48,4,own,3792,116332,1,York,3335,3407,1,No
49,2,own,1605,80119,0,Cumberland,3482,3028,2,Yes
50,3,own,3825,93361,3,Cumberland,1888,3691,2,No
51,2,rent,2393,20847,3,Cumberland,1589,3245,2,No
52,3,rent,3973,42897,2,York,1659,4439,1,No
53,3,own,2948,66137,1,Cumberland,2408,3475,2,No
54,2,own,2225,61337,3,Cumberland,3303,4216,1,No
55,3,own,1581,92464,2,Cumberland,764,1668,2,Yes
56,4,rent,3029,100235,0,Cumberland,1561,2461,2,No
57,3,own,3456,81218,0,York,3841,3916,2,Yes
58,2,own,2696,68345,2,Cumberland,3113,3708,1,No
59,2,own,2342,53984,3,Cumberland,3186,3917,1,Yes
60,4,own,2573,64770,2,Cumberland,1958,3321,1,No
61,3,own,3590,81608,2,York,3517,4771,2,Yes
62,3,own,3655,76216,2,York,2703,4280,1,No
63,4,own,2576,57810,2,Cumberland,2512,3066,2,Yes
64,3,rent,1616,95044,2,Sagadahoc,2043,3441,2,No
65,4,own,1485,66850,2,Cumberland,2961,3751,3,Yes
66,4,own,2288,45859,2,Cumberland,3296,4130,1,Yes
67,3,own,3944,60173,2,York,2780,3487,2,Yes
68,3,own,2877,37110,2,Cumberland,3908,2801,2,No
69,4,own,2754,102720,3,Cumberland,2136,4037,3,No
70,2,own,2759,90778,0,Cumberland,2887,2886,3,Yes
71,4,own,1849,74890,1,Cumberland,1709,2816,2,No
72,3,own,3623,49579,2,York,2459,3117,1,Yes
73,6,rent,2988,60857,2,Cumberland,2580,3837,0,No
74,3,own,1505,113071,0,Cumberland,2997,3228,1,No
75,3,rent,2764,67933,1,Cumberland,2290,3517,2,No
76,2,own,2202,98348,3,Cumberland,2920,4183,1,Yes
77,3,own,2732,81335,2,Cumberland,1920,3397,2,No
78,3,own,2883,137489,1,Cumberland,3717,3777,2,Yes
79,3,own,2364,88551,1,Cumberland,1907,4147,2,Yes
80,4,own,1703,48436,1,Sagadahoc,2638,3022,3,No
81,4,own,1961,95699,2,Sagadahoc,3557,3153,2,No
82,3,rent,3110,67913,2,Sagadahoc,1448,2208,1,No
83,4,own,2439,54553,2,Cumberland,2732,3846,3,Yes
84,2,own,2583,97221,1,Cumberland,2270,4335,1,Yes
85,3,own,2003,53862,1,Cumberland,3680,3717,1,Yes
86,3,rent,4293,84366,0,York,2990,4402,1,No
87,3,rent,2572,88139,2,Sagadahoc,2866,3011,2,No
88,4,rent,2050,50694,1,Cumberland,1999,3437,3,No
89,5,own,2769,84127,1,Cumberland,2284,2118,2,Yes
90,3,rent,2932,54865,1,Sagadahoc,2085,2176,1,No
91,3,own,1870,86248,2,Cumberland,2299,3378,2,Yes
92,1,own,2062,106193,1,Cumberland,1761,3517,0,No
93,4,own,4085,76951,2,York,2194,4223,2,Yes
94,4,rent,2702,83223,1,Cumberland,3462,2854,1,No
95,3,rent,2841,79965,2,Cumberland,2053,2848,2,No
96,4,own,5026,89073,1,York,4669,3973,3,Yes
97,2,own,2903,89770,2,Cumberland,2174,3306,1,Yes
98,2,own,3441,63305,1,York,3991,4239,1,Yes
99,4,own,3360,48628,1,York,2175,4170,2,Yes
100,2,rent,3289,37970,2,Cumberland,2392,3920,1,No
101,3,own,2773,76710,2,Cumberland,1531,2870,2,Yes
102,3,rent,2311,91679,3,Sagadahoc,3420,2761,2,No
103,3,rent,3720,78942,1,York,3001,4020,1,No
104,3,own,3544,84391,1,York,3013,4306,1,No
105,4,own,2444,92140,2,Cumberland,2138,4085,1,Yes
106,2,rent,3000,64205,1,York,1740,3358,3,No
107,2,rent,3627,77078,0,York,3064,3454,1,No
108,3,own,3547,81735,1,York,3711,3466,1,Yes
109,2,rent,1897,34853,2,Sagadahoc,2875,1778,1,No
110,3,rent,2425,103782,2,Sagadahoc,3500,3051,1,No
111,2,own,1843,104677,1,Cumberland,2924,2975,1,Yes
112,2,own,2774,71973,3,Sagadahoc,3592,3450,2,Yes
113,3,own,3782,53683,2,York,3012,4367,2,Yes
114,2,own,3630,36881,2,Cumberland,2400,2840,1,Yes
115,4,own,3088,112459,0,Cumberland,3888,3597,2,Yes
116,2,own,4044,63398,2,York,3496,4194,2,Yes
117,4,rent,2044,45948,3,Cumberland,1528,4398,2,No
118,3,own,2794,45385,2,Cumberland,2303,3473,2,Yes
119,4,rent,3476,76775,2,Cumberland,2891,4565,1,No
120,2,own,2627,49923,1,Cumberland,2330,3463,1,Yes
121,4,own,4320,68993,1,York,1877,3545,3,No
122,2,own,4199,101679,1,York,2281,3655,1,Yes
123,5,own,1593,45447,2,Cumberland,2525,3227,2,Yes
124,2,own,2209,78388,1,Cumberland,2767,3264,1,No
125,3,rent,2755,89215,1,Cumberland,2898,4225,2,No
126,3,own,2567,72439,2,Cumberland,3948,3726,2,No
127,3,rent,3018,83989,1,York,3293,3973,1,No
128,4,own,2410,44447,1,Sagadahoc,2076,3277,1,Yes
129,2,own,2467,54263,3,Cumberland,3662,4623,2,Yes
130,5,own,2498,96140,1,York,1620,4009,1,No
131,3,rent,3210,49370,1,Cumberland,2578,4392,2,No
132,2,own,2151,73062,0,Cumberland,2610,2889,2,Yes
133,2,rent,3425,85430,1,Cumberland,3272,3547,1,No
134,4,rent,2522,86041,1,Sagadahoc,1134,3077,2,No
135,5,own,4290,66288,1,York,3901,4677,2,No
136,5,own,3788,76885,0,York,2855,3479,2,No
137,2,own,1556,63239,1,Sagadahoc,2756,2635,1,No
138,3,rent,2394,48420,0,Sagadahoc,1695,2453,1,No
139,4,own,2191,69118,2,Cumberland,2704,4076,3,Yes
140,3,own,3890,76501,2,York,2261,3936,1,Yes
141,3,rent,3231,45708,1,York,2372,3451,2,No
142,3,own,4207,84166,3,York,2842,3884,2,Yes
143,3,rent,2405,91898,2,Cumberland,3285,3003,2,No
144,4,rent,2275,73791,2,Cumberland,1833,3811,3,No
145,2,own,3041,90100,2,Cumberland,3407,3380,1,No
146,3,rent,2143,67769,1,Cumberland,3099,3284,1,No
147,3,own,2687,25647,2,Cumberland,1515,3529,2,Yes
148,4,rent,3618,73450,2,York,3114,2379,3,No
149,4,own,4158,59297,2,York,2680,3357,3,No
150,4,own,1898,63918,2,Cumberland,1392,3304,1,Yes
151,3,rent,4294,75339,3,York,2770,2969,2,No
152,2,own,3049,108856,2,Cumberland,3535,3357,2,No
153,3,own,4298,101758,2,York,3351,3893,1,Yes
154,4,own,2415,60657,1,Cumberland,3355,2726,3,No
155,5,own,2726,89504,1,York,2237,3656,1,Yes
156,2,own,3654,63935,1,York,2249,4282,1,Yes
157,3,rent,2135,49954,1,Cumberland,2794,3595,2,No
158,2,rent,2344,86180,3,Cumberland,2651,3475,3,No
159,4,rent,2200,58784,0,Sagadahoc,2573,3220,1,No
160,3,rent,4187,72261,2,York,1898,3526,2,No
161,3,own,4549,88781,2,York,2702,3258,3,No
162,2,own,2657,76036,0,Cumberland,3484,3145,1,No
163,4,own,2744,76542,2,Cumberland,2112,3394,1,Yes
164,3,own,3327,87840,2,York,3073,3045,3,No
165,2,own,2846,46519,2,Cumberland,2575,3263,2,Yes
166,5,own,1958,61872,2,Cumberland,2586,3665,2,Yes
167,3,own,3221,56830,1,Cumberland,3102,3699,2,Yes
168,2,rent,2737,65621,1,Cumberland,2269,3687,2,No
169,3,own,4475,50824,3,York,1845,3190,2,Yes
170,3,rent,3714,93550,2,York,1553,4833,1,No
171,4,rent,2670,80842,1,Cumberland,3323,2951,1,No
172,3,own,2476,79665,2,Cumberland,1609,3221,2,No
173,3,own,3200,99942,1,York,2378,3428,2,No
174,3,own,4148,76594,1,York,2051,3844,2,Yes
175,2,own,2461,102930,1,Cumberland,3771,3399,2,Yes
176,4,own,3645,52989,1,York,2754,4037,2,Yes
177,3,own,2463,59267,2,Cumberland,2817,3598,3,No
178,3,own,3531,86001,2,York,4366,4425,2,Yes
179,4,own,3909,44229,1,York,2215,3633,1,Yes
180,3,own,3174,107114,1,Cumberland,1995,3616,2,Yes
181,2,own,3659,83496,2,York,3835,3310,1,Yes
182,4,own,3520,105591,1,York,3362,3623,1,Yes
183,4,own,2331,76644,2,Cumberland,2279,2836,1,Yes
184,4,own,4289,77423,1,York,2461,3941,3,No
185,3,own,1947,44469,1,Cumberland,574,3396,2,Yes
186,3,rent,3983,47213,1,York,2608,3119,2,No
187,3,own,2797,49320,1,Cumberland,2423,2612,2,No
188,2,rent,3117,68552,1,Cumberland,2203,4089,1,No
189,4,own,2906,81559,2,Cumberland,2329,2558,2,No
190,3,own,3742,71743,2,York,2057,3883,3,No
191,2,own,4216,80518,0,York,2633,3499,1,Yes
192,3,own,4799,98044,2,York,2561,3892,2,Yes
193,4,own,3124,75031,2,Cumberland,2916,3388,2,No
194,3,rent,3038,118233,2,Cumberland,1560,3060,1,No
195,3,own,1941,69620,3,Cumberland,2242,3034,1,No
196,5,rent,1630,36631,2,Sagadahoc,1814,2698,2,No
197,3,rent,3392,50687,1,York,2804,4437,1,No
198,3,rent,1632,64527,2,Sagadahoc,1919,3226,2,No
199,3,own,4194,76105,3,York,1910,3448,1,No
200,2,own,3610,88634,2,York,2551,3149,1,No
201,4,rent,2964,35393,2,Cumberland,1606,3531,2,No
202,3,own,2150,83185,1,Cumberland,3518,2493,2,Yes
203,2,own,3926,57426,1,York,1531,3569,2,Yes
204,3,own,2423,87611,2,Cumberland,2387,2441,1,Yes
205,2,own,3966,60372,1,Cumberland,2927,3309,1,No
206,3,own,1856,70885,2,Cumberland,2843,4163,1,Yes
207,4,rent,3238,36165,2,Cumberland,2128,3920,2,No
208,3,rent,4220,70228,2,York,4676,3355,2,No
209,3,own,2606,52258,2,Cumberland,2369,3960,1,Yes
210,4,rent,4944,101721,1,York,3101,3663,2,No
211,3,own,2948,75254,2,Cumberland,4209,4097,0,No
212,3,own,3969,96037,1,York,1252,3209,2,No
213,3,own,2769,94543,2,Cumberland,2049,3989,2,No
214,2,rent,3478,70938,1,Cumberland,1536,3395,3,No
215,4,own,4150,96359,2,York,4157,4172,2,No
216,5,rent,2772,47858,2,Cumberland,2183,3397,1,No
217,5,own,3715,86506,1,York,2656,3405,2,Yes
218,4,own,4247,64727,3,York,2605,4859,3,Yes
219,2,rent,2524,87990,1,Cumberland,1709,3988,2,No
220,3,own,3794,85200,1,York,3272,3773,1,Yes
221,4,own,3444,63362,1,Cumberland,4171,3716,3,No
222,3,rent,2842,83269,1,Cumberland,2499,4237,2,No
223,2,rent,2563,63552,3,Cumberland,2003,3185,1,No
224,2,own,3161,87353,2,Cumberland,2393,4086,1,No
225,4,own,1805,66131,1,Cumberland,1411,3647,0,Yes
226,1,own,3631,86686,1,York,2555,4233,0,Yes
227,3,own,3023,56167,2,Cumberland,2954,3642,3,Yes
228,3,own,3829,62640,2,York,3760,3658,2,No
229,4,own,3241,88633,2,Cumberland,3781,3453,3,Yes
230,4,own,2757,97557,2,Cumberland,1518,3081,2,No
231,2,own,3229,86510,1,York,1869,4243,1,Yes
232,3,own,1572,31523,1,Cumberland,3480,4321,2,No
233,3,rent,2667,51209,0,Cumberland,2288,4243,3,No
234,4,rent,2749,68928,1,Cumberland,2566,3813,1,No
235,3,rent,2791,76633,1,Cumberland,2771,3374,2,No
236,3,own,2716,64271,1,Cumberland,3526,4529,2,Yes
237,2,own,1986,107461,1,Cumberland,2498,3939,1,Yes
238,2,own,2422,43005,0,Cumberland,3709,2396,1,No
239,3,own,2149,60631,1,Cumberland,2621,2795,2,No
240,2,own,3046,74156,2,Cumberland,2566,2777,1,Yes
241,5,own,2107,59074,2,Cumberland,2903,3654,2,No
242,3,own,2888,75291,3,Cumberland,4378,3237,2,Yes
243,3,own,4765,75176,2,York,4370,4834,2,Yes
244,4,own,4477,82721,2,York,2988,3037,2,Yes
245,3,own,3223,83630,2,York,2047,4380,2,Yes
246,2,own,3263,40809,2,Cumberland,3142,3964,1,No
247,4,own,3064,57478,2,York,3180,2710,1,Yes
248,2,own,4281,74414,2,York,2998,4367,2,Yes
249,2,own,1984,47355,1,Cumberland,2565,4668,1,No
250,3,own,4293,72857,1,York,3529,3762,2,Yes
251,2,own,2657,86572,3,Cumberland,2334,3805,1,Yes
252,4,own,3645,89369,2,York,3665,3887,3,Yes
253,4,own,1745,68492,1,Cumberland,2680,3115,3,No
254,2,own,2344,73650,2,Cumberland,3069,3450,1,Yes
255,4,own,4299,68265,1,York,3267,3761,2,Yes
256,4,own,2644,60284,1,Cumberland,2409,3454,3,Yes
257,3,own,2190,90118,1,Cumberland,3470,3955,2,No
258,3,rent,2841,107276,2,Cumberland,2974,3412,2,No
259,3,own,3770,64552,1,Cumberland,2230,3487,2,No
260,3,own,2301,42717,2,Cumberland,2357,4212,2,No
261,4,rent,3505,60214,2,Cumberland,2534,3653,2,No
262,2,own,2687,82122,1,Cumberland,2284,4099,3,Yes
263,2,rent,2767,54765,3,Cumberland,3099,3675,3,No
264,4,rent,2859,101052,1,Cumberland,3572,4526,3,No
265,4,rent,2959,78349,2,Cumberland,3792,3754,3,No
266,2,own,2626,85565,2,York,2089,3388,2,Yes
267,2,own,3450,61617,1,Cumberland,1414,3330,1,No
268,3,rent,3675,69602,1,York,2448,3064,2,No
269,2,own,2943,59462,1,Cumberland,2513,2410,2,Yes
270,2,rent,1715,66057,2,Cumberland,2862,4076,2,No
271,2,own,2892,65450,0,Cumberland,2124,2719,2,No
272,3,own,4009,59284,2,York,1870,4245,2,No
273,4,own,3840,106801,1,York,2279,3855,1,Yes
274,4,rent,2384,71062,2,Cumberland,2976,4740,2,No
275,4,rent,3734,64831,3,York,2237,4562,3,No
276,3,own,4105,99077,1,York,2676,3107,2,Yes
277,4,own,1197,77222,1,Cumberland,2787,3211,3,Yes
278,3,own,3878,82353,1,York,2656,4015,0,No
279,3,rent,1721,95024,2,Cumberland,2934,3817,3,No
280,2,rent,3501,66599,1,York,2507,4048,1,No
281,2,own,2431,64274,1,Cumberland,1618,4031,1,Yes
282,3,own,2539,63339,1,Cumberland,2692,3856,1,No
283,4,own,4621,92698,1,York,3461,3181,2,Yes
284,4,own,3282,77699,1,York,3041,3386,1,No
285,3,own,3728,60403,1,York,4258,3650,1,Yes
286,2,own,4487,64761,0,York,2583,3737,1,Yes
287,2,own,4097,76345,1,York,2438,4391,1,No
288,4,own,3988,34783,2,York,2655,4373,1,Yes
289,3,own,3217,68430,2,York,3744,2676,2,No
290,4,own,3233,64004,1,Cumberland,2198,2988,2,Yes
291,2,own,3009,87500,1,Cumberland,2463,3836,2,Yes
292,2,own,2569,44668,1,Sagadahoc,2449,2203,1,Yes
293,4,own,3842,94587,2,York,2795,4541,2,Yes
294,4,own,2403,30016,2,Cumberland,2466,3055,3,Yes
295,3,own,3469,83578,1,York,2581,4030,2,No
296,2,own,3851,85185,2,York,3351,3939,1,No
297,3,rent,1827,78034,2,Cumberland,3213,3260,2,No
298,3,own,1760,81116,2,Cumberland,3469,3464,2,Yes
299,4,own,3498,59807,2,Cumberland,3671,2978,1,No
300,4,own,2358,55147,0,Cumberland,2413,5279,2,Yes
301,2,own,2207,81758,0,Cumberland,2276,3051,2,No
302,3,own,3442,43633,3,York,2264,3398,3,No
303,3,rent,2936,63490,2,Cumberland,2421,3111,2,No
304,3,rent,2722,100110,2,Cumberland,3178,3326,3,No
305,2,own,4591,81663,2,York,3435,4571,1,Yes
306,4,own,3573,107435,1,York,2856,4283,2,No
307,3,own,3876,77488,1,York,4260,3139,2,Yes
308,3,own,4689,65633,0,York,2359,4296,1,No
309,3,rent,2533,95223,1,Cumberland,2244,3915,1,No
310,3,own,4118,72347,2,Cumberland,1735,3860,2,Yes
311,2,own,3611,69287,1,Cumberland,2531,4151,3,Yes
312,3,own,3514,42467,1,York,1686,4279,2,No
313,3,own,4020,66240,1,Cumberland,3095,3747,2,No
314,4,own,3043,55493,0,Cumberland,2515,2372,0,Yes
315,3,own,5016,64104,1,York,3618,3113,2,No
316,4,own,5027,61638,2,York,2026,4301,2,Yes
317,3,own,3814,89208,2,York,3042,4034,2,No
318,3,own,3529,77073,2,York,2994,3328,2,No
319,3,rent,2707,51460,1,Sagadahoc,1111,3215,1,No
320,6,own,3698,67505,2,York,3780,3840,1,Yes
321,2,rent,2646,90479,1,Sagadahoc,3153,2038,2,No
322,3,own,2285,64380,2,Cumberland,3675,2770,1,Yes
323,2,own,2326,34396,2,Cumberland,2779,3812,1,Yes
324,2,own,2750,75977,2,Cumberland,723,3985,1,Yes
325,3,rent,2130,81523,2,Sagadahoc,2363,3895,2,No
326,3,own,2150,55781,1,Cumberland,3189,3599,2,Yes
327,4,own,4224,120130,1,York,2620,3614,2,Yes
328,3,own,4279,64907,2,York,3829,2834,2,Yes
329,3,own,2453,60585,2,Cumberland,2046,3522,2,Yes
330,4,own,3480,102364,2,York,3219,4021,3,Yes
331,2,rent,1620,69960,2,Cumberland,2570,3737,0,No
332,4,own,3473,90611,2,Cumberland,2604,3602,2,No
333,3,own,2127,62149,1,Cumberland,1007,3020,2,Yes
334,5,own,2328,75397,2,Cumberland,3769,3396,2,No
335,4,own,3134,89930,2,York,2917,4910,2,Yes
336,2,own,1775,64080,2,Cumberland,3112,3110,2,No
337,3,own,2312,88442,1,Cumberland,1110,4054,2,No
338,2,rent,2190,72222,2,Cumberland,2318,3788,2,No
339,3,own,3493,31752,0,Cumberland,4534,3954,2,Yes
340,3,rent,4560,104440,3,York,2207,4672,1,No
341,3,own,3025,33611,1,Cumberland,2303,2991,1,Yes
342,4,own,1968,81176,3,Cumberland,3131,3769,1,No
343,2,own,2714,56513,1,Cumberland,3265,3455,3,Yes
344,3,own,1961,111304,2,Cumberland,2301,3274,2,No
345,2,own,2983,54809,1,Cumberland,1759,3082,1,Yes
346,2,own,2483,91655,2,Cumberland,2927,2891,1,Yes
347,4,rent,2587,81415,3,Cumberland,2165,3275,2,No
348,3,own,3653,40473,2,York,1981,4137,2,No
349,3,own,2246,69890,1,Cumberland,2649,3039,2,No
350,3,own,3833,72460,1,York,3728,4154,2,Yes
351,2,rent,5623,70479,2,York,1855,3855,3,No
352,5,own,2146,85035,1,Cumberland,3273,4186,1,Yes
353,3,own,3945,93446,1,York,3056,3402,1,No
354,3,own,4153,78302,1,York,1797,4214,2,No
355,4,own,2238,82375,0,Cumberland,3803,3403,3,Yes
356,3,rent,2105,64596,1,Cumberland,2478,3808,1,No
357,2,own,1721,79419,2,Cumberland,2288,4234,1,Yes
358,3,own,3186,75546,2,Cumberland,2726,3417,1,No
359,2,own,1841,55096,1,Cumberland,2283,3901,1,Yes
360,2,own,2467,119231,2,Cumberland,2185,3359,0,Yes
361,4,own,3088,45686,0,Cumberland,2929,3070,3,No
362,3,own,2434,51764,1,Cumberland,4614,3390,1,Yes
363,3,own,2727,70724,1,Cumberland,3211,3176,2,Yes
364,3,own,2851,35063,1,Sagadahoc,2170,3254,2,Yes
365,3,own,3333,116410,2,York,2624,3472,2,Yes
366,4,rent,2588,39613,1,Sagadahoc,3691,1859,3,No
367,3,rent,1809,52168,2,Sagadahoc,2403,2414,2,No
368,3,own,3290,86381,1,Sagadahoc,2247,2301,1,No
369,2,own,2218,100654,0,Cumberland,2442,2623,1,No
370,2,own,2401,60947,2,Cumberland,1893,3518,1,Yes
371,5,own,2970,92824,1,Cumberland,1296,3914,1,No
372,3,own,2936,104309,1,Cumberland,2905,3330,1,No
373,3,rent,3397,49943,1,York,2264,3325,1,No
374,3,own,3060,99860,2,Cumberland,1100,3919,0,No
375,3,own,3783,81789,2,York,3300,3759,0,No
376,3,rent,2941,82483,3,Cumberland,3020,4139,2,No
377,2,rent,2225,81318,2,Cumberland,3027,3385,1,No
378,2,own,2327,56881,3,Cumberland,4346,4640,2,Yes
379,3,own,3533,89406,1,Cumberland,2206,3993,2,Yes
380,3,own,4283,107802,2,York,3923,4860,2,Yes
381,3,own,3149,59320,1,York,3413,4370,2,No
382,3,own,2368,66170,1,Cumberland,1690,3643,2,Yes
383,2,rent,4174,68054,1,York,867,4078,2,No
384,3,own,2831,56541,1,Cumberland,2188,4421,2,No
385,2,rent,3368,67488,1,Cumberland,2292,3841,2,No
386,3,rent,4313,66548,0,York,2361,3434,2,No
387,4,own,3657,92044,1,York,2014,3247,3,Yes
388,2,own,4302,83292,3,York,1376,3547,2,No
389,4,rent,2524,74883,2,Cumberland,2627,3004,2,No
390,3,rent,2471,57083,2,Cumberland,3383,3576,2,No
391,3,own,2434,92920,1,Cumberland,2676,3358,1,Yes
392,4,own,2833,79786,2,Cumberland,3470,3121,2,Yes
393,3,own,3041,91387,2,Cumberland,3156,4027,2,No
394,2,own,3327,76017,2,Cumberland,2704,4070,1,Yes
395,3,own,2395,96330,2,Cumberland,1876,3458,2,No
396,3,own,3215,51144,2,Cumberland,2004,3962,2,No
397,5,own,3489,77741,1,York,2405,3715,2,Yes
398,4,own,2192,129221,2,Cumberland,2582,4082,2,No
399,2,own,1785,118443,1,Cumberland,2827,2020,1,Yes
400,4,rent,2263,82181,1,Sagadahoc,2088,2939,2,No
401,3,own,2684,84869,1,Cumberland,3322,5163,2,Yes
402,3,own,2692,53325,1,Cumberland,2266,3562,2,Yes
403,3,own,1988,122533,2,Cumberland,3369,3088,3,Yes
404,3,own,4145,52146,2,York,2945,4052,2,Yes
405,4,rent,2672,89179,2,Cumberland,2544,2756,1,No
406,2,own,1978,81276,0,Cumberland,2395,3617,1,Yes
407,4,rent,2241,70366,1,Cumberland,2165,3861,2,No
408,5,rent,2335,64255,0,Sagadahoc,3107,1842,1,No
409,3,own,2770,106162,0,Cumberland,2359,3778,3,No
410,3,own,3358,87633,2,Cumberland,2280,3680,2,Yes
411,3,rent,3156,65182,2,Cumberland,1279,3195,2,No
412,2,own,3732,65366,1,York,2769,4146,2,Yes
413,3,rent,2193,63893,1,Sagadahoc,1258,3823,2,No
414,5,own,3711,89293,1,York,1803,3913,2,No
415,3,own,2684,59218,1,Cumberland,3704,3027,2,Yes
416,4,rent,2058,77155,1,Sagadahoc,870,2404,1,No
417,3,own,2286,80871,0,Sagadahoc,3330,2578,2,No
418,3,own,3926,93463,1,York,1883,3460,1,No
419,2,rent,4623,88177,1,York,1931,4396,4,No
420,3,rent,2744,82038,0,Cumberland,1896,4516,3,No
421,3,own,2926,57003,2,Cumberland,3015,4179,1,No
422,5,own,3953,88371,1,York,3644,4453,3,No
423,3,own,2683,71356,1,Cumberland,3471,3570,3,No
424,3,own,3305,74301,0,York,2918,4152,2,No
425,3,own,2460,56329,0,Cumberland,3317,2718,2,Yes
426,5,own,2244,50113,2,Sagadahoc,3042,2502,0,No
427,3,own,3951,101127,1,York,2803,3553,1,Yes
428,2,own,4895,79568,2,York,2701,3085,1,No
429,2,own,2809,74771,1,Cumberland,2982,2993,1,Yes
430,3,rent,3407,73967,2,Cumberland,2144,3037,2,No
431,3,own,2702,72694,1,Cumberland,2265,4203,2,Yes
432,3,own,2571,64528,2,Cumberland,3131,3271,2,No
433,3,rent,2169,31899,2,Cumberland,3204,3555,2,No
434,4,own,2715,77960,1,Cumberland,2680,4114,0,No
435,4,own,2369,62663,1,Cumberland,2607,3346,3,Yes
436,3,rent,2832,71211,1,Cumberland,3601,3622,2,No
437,4,own,3341,54343,1,York,2572,3785,2,Yes
438,3,rent,3219,38701,1,Sagadahoc,2193,3257,1,No
439,4,own,4425,94264,1,York,525,5063,1,No
440,4,rent,2687,63802,2,Cumberland,1873,3837,3,No
441,3,own,3659,86450,2,Cumberland,3912,3117,3,Yes
442,3,own,3696,80546,1,Cumberland,2430,3750,2,Yes
443,2,own,3189,77221,1,Cumberland,2483,2973,1,Yes
444,3,own,2791,116174,0,Cumberland,3721,3132,2,No
445,3,own,4108,72617,1,York,2717,3818,2,Yes
446,2,own,3866,90339,1,York,2299,4826,0,Yes
447,3,own,2728,101451,2,Cumberland,2984,3571,1,No
448,3,rent,2347,47553,2,Sagadahoc,2594,2759,2,No
449,2,own,2619,78753,1,Cumberland,3294,3543,1,No
450,4,own,2079,40991,1,Sagadahoc,2603,2386,2,Yes
451,3,own,3190,74375,1,Cumberland,3525,3755,3,Yes
452,3,own,2635,72364,1,Sagadahoc,2412,3244,2,Yes
453,3,own,3156,43938,0,Cumberland,2103,2561,2,No
454,2,rent,3058,64212,1,Cumberland,3240,3969,1,No
455,5,own,5035,87506,2,York,3275,3382,3,Yes
456,4,own,2270,86895,3,Cumberland,3552,3502,2,Yes
457,2,own,3060,71239,1,Cumberland,2810,3305,0,Yes
458,5,own,2853,64403,1,Cumberland,3290,3800,0,No
459,4,rent,2361,89418,1,Cumberland,2914,4660,2,No
460,3,rent,2247,48736,1,Sagadahoc,1280,2330,1,No
461,2,own,2819,73330,2,York,2146,3634,1,No
462,4,own,3911,50415,1,York,1916,4530,2,Yes
463,3,own,3126,80940,1,Cumberland,2453,3488,2,No
